datetime,symbol,side,entry,qty,exit_reason,vix,vix_range
2025-12-09 16:57:15,NSE:BANKNIFTY25JAN52500CE,BUY,890.0,35,TARGET,11.23,10-12
2025-12-09 16:58:24,NSE:BANKNIFTY25JAN53000CE,BUY,940.0,35,TARGET,11.23,10-12
2025-12-09 16:58:49,NSE:BANKNIFTY25JAN51800PE,BUY,686.0,35,STOPLOSS,11.23,10-12
2025-12-09 17:02:10,NSE:BANKNIFTY25JAN52000CE,BUY,850.0,35,TARGET,11.23,10-12
2025-12-09 17:03:07,NSE:BANKNIFTY25JAN51800PE,BUY,690.0,35,STOPLOSS,11.23,10-12
2025-12-09 17:08:06,NSE:BANKNIFTY25JAN52000CE,BUY,850.0,35,TARGET,11.23,10-12
2025-12-09 17:08:27,NSE:BANKNIFTY25JAN51800PE,BUY,700.0,50,STOPLOSS,11.23,10-12
2025-12-09 17:13:45,NSE:BANKNIFTY25JAN52000CE,BUY,850.0,35,TARGET,11.23,10-12
2025-12-09 17:14:08,NSE:BANKNIFTY25JAN51800PE,BUY,700.0,70,STOPLOSS,11.23,10-12
2025-12-09 17:19:46,NSE:BANKNIFTY25DEC51500CE,BUY,230.0,35,TARGET,11.23,10-12
2025-12-09 17:19:56,NSE:BANKNIFTY25DEC52000PE,BUY,150.0,70,STOPLOSS,11.23,10-12
2025-12-09 17:20:11,NSE:BANKNIFTY25DEC51000CE,BUY,130.0,105,TARGET,11.23,10-12
2025-12-09 17:24:14,NSE:BANKNIFTY25DEC51500CE,BUY,230.0,35,TARGET,11.23,10-12
2025-12-09 17:24:14,NSE:BANKNIFTY25DEC52000PE,BUY,150.0,35,STOPLOSS,11.23,10-12
2025-12-09 17:24:14,NSE:BANKNIFTY25DEC51000CE,BUY,130.0,35,TARGET,11.23,10-12
2025-12-09 17:32:48,NSE:BANKNIFTY25DEC52000CE,BUY,150.5,35,ENTRY,11.23,10-12
2025-12-09 17:32:48,NSE:BANKNIFTY25DEC52000CE,BUY,7532.5,35,TARGET,11.23,10-12
